rain_bucket_mm,predicted_speed_drop_pct,predicted_aqi_drop_pct,predicted_congestion_bump_pct,confidence_score,sample_size,trained_at
0.0,0.0,0.0,0.0,0.1,1000,2026-05-25T18:07:13.570015+00:00
1.0,0.0,0.0,0.0,0.1,1000,2026-05-25T18:07:13.570039+00:00
2.5,0.0,0.0,0.0,0.1,1000,2026-05-25T18:07:13.570045+00:00
5.0,41.94592999702769,0.0,22.15078710429541,0.1,1000,2026-05-25T18:07:13.570051+00:00
10.0,66.38987401856166,0.0,60.388831215865714,0.1,1000,2026-05-25T18:07:13.570057+00:00
15.0,66.38987401856166,0.0,60.388831215865714,0.1,1000,2026-05-25T18:07:13.570063+00:00
20.0,66.38987401856166,0.0,60.388831215865714,0.1,1000,2026-05-25T18:07:13.570068+00:00
25.0,66.38987401856166,0.0,60.388831215865714,0.1,1000,2026-05-25T18:07:13.570084+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-05-26T21:51:53.326875+00:00
1.0,4.106772605219577,0.676199744144399,2.4714371468214793,0.1,1000,2026-05-26T21:51:53.326897+00:00
2.5,9.583418139163117,1.6904993603610041,5.76758557819587,0.1,1000,2026-05-26T21:51:53.326905+00:00
5.0,16.88845836537347,3.3809987207220082,10.16514686019898,0.1,1000,2026-05-26T21:51:53.326911+00:00
10.0,24.663405078935916,6.7619974414440165,14.850196535626928,0.1,1000,2026-05-26T21:51:53.326916+00:00
15.0,23.32484014068735,10.142996162166025,14.05514902628385,0.1,1000,2026-05-26T21:51:53.326921+00:00
20.0,12.872763550627756,13.523994882888019,7.780004332169732,0.1,1000,2026-05-26T21:51:53.326927+00:00
25.0,0.0,16.904993603610027,0.0,0.1,1000,2026-05-26T21:51:53.326941+00:00
